tweet_id,timestamp,rating_numerator,text,name,jpg_url,favorite_count,retweet_count,dog_class,dog_races
892177421306343426,2017-08-01 00:17:27,13,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,32753.0,6179.0,none,chihuahua
891815181378084864,2017-07-31 00:18:03,12,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,24667.0,4089.0,none,chihuahua
891689557279858688,2017-07-30 15:58:51,13,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,41529.0,8503.0,none,paper_towel
891327558926688256,2017-07-29 16:00:24,12,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,39720.0,9209.0,none,english_springer
890971913173991426,2017-07-28 16:27:12,13,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,11668.0,2030.0,none,appenzeller
890609185150312448,2017-07-27 16:25:51,13,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,27400.0,4206.0,none,irish_terrier
890240255349198849,2017-07-26 15:59:51,14,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,31440.0,7271.0,doggo,pembroke
890006608113172480,2017-07-26 00:31:25,13,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,30232.0,7216.0,none,samoyed
889880896479866881,2017-07-25 16:11:53,13,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,27386.0,4896.0,none,french_bulldog
889638837579907072,2017-07-25 00:10:02,12,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Ted,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,26767.0,4474.0,none,french_bulldog
889531135344209921,2017-07-24 17:02:04,13,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,Stuart,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,14886.0,2208.0,puppo,golden_retriever
889278841981685760,2017-07-24 00:19:32,13,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,Oliver,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,24883.0,5290.0,none,whippet
888917238123831296,2017-07-23 00:22:39,12,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,Jim,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,28668.0,4422.0,none,golden_retriever
888804989199671297,2017-07-22 16:56:37,13,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,Zeke,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,25193.0,4224.0,none,golden_retriever
888554962724278272,2017-07-22 00:23:06,13,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,Ralphus,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,19544.0,3492.0,none,malamute
888078434458587136,2017-07-20 16:49:33,12,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,Gerald,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,21444.0,3443.0,none,french_bulldog
